FID,Shape,DPTO_CCDGO,MPIO_CCDGO,MUNICIPIO,DEPARTAMENTO,PK,CODIGO_DANE,Region,CODIGO_PRO,PROVINCIA,RURALIDAD,Capital,Población,Área_No_Municipalizada,Instrumento,Categoria_Municipal,Nivel_Desempeño_Fiscal,PDET,ZOMAC,IRV,INFORMALIDAD,Año,Cod_precio,irradiado_rango_prec,rango_prec,irradiado,Codigo_D1,Isocrona_25k_DPTO,Isocrona_25K_MPIO,Isocrona_25K_TIEMPO,Isocrona_25K_HORA,Isocrona_25K_DIST,Isocrona_CAPIT_DPTO,Isocrona_CAPI_MPIO,Isocrona_CAPI_TIEMPO,Isocrona_CAPI_HORA,Isocrona_CAPI_DIST,Tamaño_Predial_Area,Tamaño_predial_AREA_HA,Tamaño_predial_numero,Tamaño_Predial_numero_(ha),GRUPO_UFH,AREA_UFH,Uso_agrope,Observacio,COD_MPIO,LATITUD,LONGITUD
295,Polygon,5,42,SANTAFE DE ANTIOQUIA,ANTIOQUIA,5042,5042,Andina,505,OCCIDENTE,Rural,-,27831,-,1. EOT,CINCO,G1_ALTO,No PDET, ZOMAC,Medio,0.434881,-,-,Irradiado_Mayor que 200 - hasta 250,Mayor que 200 - hasta 250,1,5042,Antioquia,BELLO,1.589578,A2. Mayor que 1 y menor que 2 horas,52.077164,Antioquia,MEDELLÍN,2.150455,A3. Mayor que 2 y menor que 3 horas,61.361227,Mediana propiedad,24307.61309407117,Pequeña propiedad,3823,4,34401.44548,SI,-,5042,6.535711576,-75.90426658
294,Polygon,5,44,ANZA,ANTIOQUIA,5044,5044,Andina,505,OCCIDENTE,Rural disperso,-,7433,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.775,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5044,Antioquia,BELLO,2.270951,A3. Mayor que 2 y menor que 3 horas,76.705087,Antioquia,MEDELLÍN,2.831828,A3. Mayor que 2 y menor que 3 horas,85.989149,Mediana propiedad,9652.570785208381,Pequeña propiedad,1326,4,19168.21784,SI,-,5044,6.293546613,-75.91736927
403,Polygon,5,45,APARTADO,ANTIOQUIA,5045,5045,Andina,508,URABA,Ciudades y aglomeraciones,-,130362,-,3. POT,TRES,G2_MEDIO_ALTO,PDET Urabá Antioqueño, ZOMAC,Medio,0.692543,-,-,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,5045,Antioquia,APARTADÓ,0,A1. Menos 1 hora,0,Córdoba,MONTERÍA,4.472517,A5. Mayor que 4 y menor que 5 horas,226.522157,Mediana propiedad,39993.051958521064,Pequeña propiedad,1184,3,25284.68314,SI,-,5045,7.86047815,-76.58236264
293,Polygon,5,51,ARBOLETES,ANTIOQUIA,5051,5051,Andina,508,URABA,Intermedio,-,31853,-,2. PBOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.613794,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5051,Córdoba,MONTERÍA,1.576415,A2. Mayor que 1 y menor que 2 horas,74.248737,Córdoba,MONTERÍA,1.553917,A2. Mayor que 1 y menor que 2 horas,73.407316,Mediana propiedad,48296.060207530914,Pequeña propiedad,2188,2,42143.10049,SI,-,5051,8.611395262,-76.41478317
292,Polygon,5,55,ARGELIA,ANTIOQUIA,5055,5055,Andina,506,ORIENTE,Rural disperso,-,7975,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Alto,0.516161,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5055,Antioquia,LA CEJA,1.918687,A2. Mayor que 1 y menor que 2 horas,77.036457,Antioquia,MEDELLÍN,2.981157,A3. Mayor que 2 y menor que 3 horas,115.249661,Mediana propiedad,8219.327167247198,Pequeña propiedad,1951,4,14515.14906,SI,-,5055,5.708114524,-75.09469795
291,Polygon,5,59,ARMENIA,ANTIOQUIA,5059,5059,Andina,505,OCCIDENTE,Rural,-,5358,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.386467,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5059,Antioquia,CALDAS,1.518159,A2. Mayor que 1 y menor que 2 horas,48.573001,Antioquia,MEDELLÍN,1.798613,A2. Mayor que 1 y menor que 2 horas,45.207316,"Gran propiedad, latifundios",4931.170882865111,Pequeña propiedad,1133,4,5203.584648,SI,-,5059,6.163683758,-75.80995528
290,Polygon,5,79,BARBOSA,ANTIOQUIA,5079,5079,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,55649,-,2. PBOT,CUATRO,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.626284,-,-,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,5079,Antioquia,BARBOSA,0,A1. Menos 1 hora,0,Antioquia,MEDELLÍN,1.098924,A2. Mayor que 1 y menor que 2 horas,38.830361,Pequeña propiedad,10303.443560802738,Pequeña propiedad,5348,4,11107.41342,SI,-,5079,6.443417935,-75.32924085
289,Polygon,5,86,BELMIRA,ANTIOQUIA,5086,5086,Andina,504,NORTE,Rural disperso,-,6356,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.702008,2017,3.2.2,Irradiado_Mayor que 100 - hasta 120,Mayor que 100 - hasta 120,1,5086,Antioquia,BELLO,1.174409,A2. Mayor que 1 y menor que 2 horas,43.594322,Antioquia,MEDELLÍN,1.735286,A2. Mayor que 1 y menor que 2 horas,52.878384,Mediana propiedad,20.41649462698231,Pequeña propiedad,11,2,28.814363,SI,Agropecuario,5086,6.665853953,-75.68621659
288,Polygon,5,88,BELLO,ANTIOQUIA,5088,5088,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,561955,-,3. POT,UNO,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Bajo,0.582293,-,-,Irradiado_Mayor que 300 - hasta 400,Mayor que 300 - hasta 400,1,5088,Antioquia,BELLO,0,A1. Menos 1 hora,0,Antioquia,MEDELLÍN,0.576162,A1. Menos 1 hora,9.342641,Pequeña propiedad,4741.556302711102,Pequeña propiedad,1789,4,5129.798449,SI,-,5088,6.358841086,-75.58973588
287,Polygon,5,91,BETANIA,ANTIOQUIA,5091,5091,Andina,507,SUROESTE,Intermedio,-,10808,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio,0.458927,2024,4.1.1,Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,0,5091,Antioquia,CALDAS,2.193383,A3. Mayor que 2 y menor que 3 horas,79.10925,Antioquia,MEDELLÍN,2.669063,A3. Mayor que 2 y menor que 3 horas,102.315851,Mediana propiedad,551.8020283520317,Pequeña propiedad,103,4,569.712218,SI,-,5091,5.727081285,-75.98689107
286,Polygon,5,93,BETULIA,ANTIOQUIA,5093,5093,Andina,507,SUROESTE,Intermedio,-,16485,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.569202,2024,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,5093,Antioquia,CALDAS,2.334966,A3. Mayor que 2 y menor que 3 horas,80.702143,Antioquia,MEDELLÍN,2.810646,A3. Mayor que 2 y menor que 3 horas,103.908745,Pequeña propiedad,553.4949750782347,Pequeña propiedad,190,3,697.686082,SI,-,5093,6.185783612,-75.95649246
282,Polygon,5,101,CIUDAD BOLIVAR,ANTIOQUIA,5101,5101,Andina,507,SUROESTE,Intermedio,-,27458,-,1. EOT,SEIS,G1_ALTO,No PDET,NO ZOMAC,Medio,0.306362,2024,3.3.2,Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,0,5101,Antioquia,CALDAS,1.967864,A2. Mayor que 1 y menor que 2 horas,75.9193,Antioquia,MEDELLÍN,2.443544,A3. Mayor que 2 y menor que 3 horas,99.125902,Mediana propiedad,3668.600724733422,Pequeña propiedad,1243,3,4317.395318,SI,-,5101,5.840995666,-76.01065253
283,Polygon,5,107,BRICEÑO,ANTIOQUIA,5107,5107,Andina,504,NORTE,Rural disperso,-,8473,-,1. EOT,CINCO,G4_MEDIO_BAJO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Alto,0.515258,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5107,Antioquia,YARUMAL,1.275075,A2. Mayor que 1 y menor que 2 horas,34.084776,Antioquia,MEDELLÍN,4.085076,A5. Mayor que 4 y menor que 5 horas,148.093016,Mediana propiedad,25394.585162929154,Pequeña propiedad,1185,3,21819.2898,SI,-,5107,7.111788462,-75.56223474
284,Polygon,5,113,BURITICA,ANTIOQUIA,5113,5113,Andina,505,OCCIDENTE,Rural disperso,-,9925,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.657778,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5113,Antioquia,BELLO,2.638751,A3. Mayor que 2 y menor que 3 horas,81.316356,Antioquia,MEDELLÍN,3.199628,A4. Mayor que 3 y menor que 4 horas,90.600418,"Gran propiedad, latifundios",15190.640881582625,Pequeña propiedad,2050,4,31588.90785,SI,-,5113,6.80906489,-75.91206595
285,Polygon,5,120,CACERES,ANTIOQUIA,5120,5120,Andina,501,BAJO CAUCA,Rural disperso,-,30925,-,2. PBOT,SEIS,G5_BAJO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Alto,0.753663,-,-,Irradiado_Mayor que 15 - hasta 20,Mayor que 15 - hasta 20,1,5120,Antioquia,CAUCASIA,1.138445,A2. Mayor que 1 y menor que 2 horas,58.249957,Córdoba,MONTERÍA,3.357914,A4. Mayor que 3 y menor que 4 horas,182.438304,"Gran propiedad, latifundios",118373.46884800753,Mediana propiedad,888,3,108752.5203,SI,-,5120,7.665155105,-75.22369744
350,Polygon,5,125,CAICEDO,ANTIOQUIA,5125,5125,Andina,507,SUROESTE,Rural disperso,-,8798,-,1. EOT,SEIS,G3_MEDIO,No PDET, ZOMAC,Medio Bajo,0.481843,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5125,Antioquia,BELLO,2.84995,A3. Mayor que 2 y menor que 3 horas,80.171991,Antioquia,MEDELLÍN,3.410827,A4. Mayor que 3 y menor que 4 horas,89.456053,Mediana propiedad,6766.662665330266,Pequeña propiedad,1782,4,11529.0039,SI,-,5125,6.423463639,-75.99351498
349,Polygon,5,129,CALDAS,ANTIOQUIA,5129,5129,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,85385,-,2. PBOT,TRES,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Bajo,0.539605,-,-,Irradiado_Mayor que 200 - hasta 250,Mayor que 200 - hasta 250,1,5129,Antioquia,CALDAS,0,A1. Menos 1 hora,0,Antioquia,MEDELLÍN,0.527421,A1. Menos 1 hora,23.606602,Mediana propiedad,5498.782044835743,Pequeña propiedad,1264,4,8471.899199,SI,-,5129,6.054446841,-75.62642674
348,Polygon,5,134,CAMPAMENTO,ANTIOQUIA,5134,5134,Andina,504,NORTE,Rural,-,9671,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET, ZOMAC,Alto,0.646421,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5134,Antioquia,YARUMAL,0.493643,A1. Menos 1 hora,17.150967,Antioquia,MEDELLÍN,3.271499,A4. Mayor que 3 y menor que 4 horas,129.710678,Mediana propiedad,13626.793621421948,Pequeña propiedad,1704,3,10931.90792,SI,-,5134,7.036017478,-75.28766178
347,Polygon,5,138,CAÑASGORDAS,ANTIOQUIA,5138,5138,Andina,505,OCCIDENTE,Rural,-,16256,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio,0.79284,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5138,Antioquia,BELLO,3.119284,A4. Mayor que 3 y menor que 4 horas,95.377374,Antioquia,MEDELLÍN,3.680161,A4. Mayor que 3 y menor que 4 horas,104.661436,Pequeña propiedad,6998.407613,Pequeña propiedad,2352,4,10393.14102,SI,-,5138,6.814950023,-76.02689632
346,Polygon,5,142,CARACOLI,ANTIOQUIA,5142,5142,Andina,502,MAGDALENA MEDIO,Rural,-,4781,-,1. EOT,SEIS,G1_ALTO,No PDET,NO ZOMAC,Bajo,0.554801,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5142,Antioquia,PUERTO BERRÍO,1.253597,A2. Mayor que 1 y menor que 2 horas,53.615642,Antioquia,MEDELLÍN,3.070699,A4. Mayor que 3 y menor que 4 horas,124.646717,Mediana propiedad,16342.67665428779,Pequeña propiedad,485,4,17950.55859,SI,-,5142,6.33797388,-74.73354817
345,Polygon,5,145,CARAMANTA,ANTIOQUIA,5145,5145,Andina,507,SUROESTE,Intermedio,-,4907,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Bajo,0.539787,2024,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,5145,Caldas,CHINCHINÁ,2.377258,A3. Mayor que 2 y menor que 3 horas,88.796255,Caldas,MANIZALES,2.545949,A3. Mayor que 2 y menor que 3 horas,94.86316,Pequeña propiedad,205.6458834546216,Pequeña propiedad,260,2,176.712805,SI,-,5145,5.555275296,-75.63082096
344,Polygon,5,147,CAREPA,ANTIOQUIA,5147,5147,Andina,508,URABA,Intermedio,-,51777,-,2. PBOT,SEIS,G3_MEDIO,PDET Urabá Antioqueño, ZOMAC,Medio,0.38557,-,-,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,5147,Antioquia,CAREPA,0,A1. Menos 1 hora,0,Córdoba,MONTERÍA,4.674416,A5. Mayor que 4 y menor que 5 horas,242.106219,Mediana propiedad,26898.57646147588,Pequeña propiedad,1699,3,13713.22771,SI,-,5147,7.757967437,-76.64374657
343,Polygon,5,148,CARMEN DE VIBORAL,ANTIOQUIA,5148,5148,Andina,506,ORIENTE,Intermedio,-,63761,-,2. PBOT,CUATRO,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.241529,-,-,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,5148,Antioquia,EL CARMEN DE VIBORAL,0,A1. Menos 1 hora,0,Antioquia,MEDELLÍN,1.373767,A2. Mayor que 1 y menor que 2 horas,52.898485,Pequeña propiedad,10924.41463,Pequeña propiedad,6800,2,7247.410876,SI,-,5148,5.978078841,-75.2635361
342,Polygon,5,150,CAROLINA,ANTIOQUIA,5150,5150,Andina,504,NORTE,Rural,-,4174,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.447482,-,-,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,5150,Antioquia,BARBOSA,1.164349,A2. Mayor que 1 y menor que 2 horas,51.45412,Antioquia,MEDELLÍN,2.250145,A3. Mayor que 2 y menor que 3 horas,90.001638,Mediana propiedad,6989.981480998457,Pequeña propiedad,459,3,9278.216637,SI,-,5150,6.754821442,-75.30590654
341,Polygon,5,154,CAUCASIA,ANTIOQUIA,5154,5154,Andina,501,BAJO CAUCA,Ciudades y aglomeraciones,-,97025,-,2. PBOT,CINCO,G2_MEDIO_ALTO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Medio Alto,0.502394,-,-,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,5154,Antioquia,CAUCASIA,0,A1. Menos 1 hora,0,Córdoba,MONTERÍA,2.412726,A3. Mayor que 2 y menor que 3 horas,126.236876,Mediana propiedad,79679.99681,Mediana propiedad,1123,3,113822.5545,SI,-,5154,7.867941792,-75.03501824
340,Polygon,5,172,CHIGORODO,ANTIOQUIA,5172,5172,Andina,508,URABA,Intermedio,-,61741,-,2. PBOT,SEIS,G2_MEDIO_ALTO,PDET Urabá Antioqueño, ZOMAC,Medio,0.655842,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5172,Antioquia,CHIGORODÓ,0,A1. Menos 1 hora,0,Córdoba,MONTERÍA,4.872692,A5. Mayor que 4 y menor que 5 horas,252.517489,Mediana propiedad,35424.3675,Pequeña propiedad,1255,1,29802.86559,SI,-,5172,7.631665644,-76.63964213
339,Polygon,5,190,CISNEROS,ANTIOQUIA,5190,5190,Andina,503,NORDESTE,Intermedio,-,10326,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.587224,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5190,Antioquia,BARBOSA,0.719155,A1. Menos 1 hora,35.867619,Antioquia,MEDELLÍN,1.804951,A2. Mayor que 1 y menor que 2 horas,74.415137,Mediana propiedad,2162.8803489396596,Pequeña propiedad,545,4,2317.85893,SI,-,5190,6.550065431,-75.08254116
338,Polygon,5,197,COCORNA,ANTIOQUIA,5197,5197,Andina,506,ORIENTE,Rural,-,16390,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Medio,0.681104,-,-,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,5197,Antioquia,EL SANTUARIO,0.578482,A1. Menos 1 hora,21.596551,Antioquia,MEDELLÍN,2.024986,A3. Mayor que 2 y menor que 3 horas,80.964885,Pequeña propiedad,14694.069077355722,Pequeña propiedad,5632,4,12887.0492,SI,-,5197,6.005593074,-75.16015403
337,Polygon,5,206,CONCEPCION,ANTIOQUIA,5206,5206,Andina,506,ORIENTE,Rural,-,5020,-,1. EOT,SEIS,G3_MEDIO,No PDET, ZOMAC,Medio Bajo,0.556433,2017,3.2.1,Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,0,5206,Antioquia,BARBOSA,0.74562,A1. Menos 1 hora,13.402439,Antioquia,MEDELLÍN,1.808169,A2. Mayor que 1 y menor que 2 horas,51.418586,Mediana propiedad,5749.896571204415,Pequeña propiedad,1416,3,10273.0269,SI,Agropecuario,5206,6.376106187,-75.21785901
336,Polygon,5,209,CONCORDIA,ANTIOQUIA,5209,5209,Andina,507,SUROESTE,Intermedio,-,22540,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.490702,2024,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,5209,Antioquia,CALDAS,1.673388,A2. Mayor que 1 y menor que 2 horas,59.147013,Antioquia,MEDELLÍN,2.149068,A3. Mayor que 2 y menor que 3 horas,82.353615,Pequeña propiedad,1247.904279392967,Pequeña propiedad,385,4,1608.565651,SI,-,5209,6.057468678,-75.90014678
335,Polygon,5,212,COPACABANA,ANTIOQUIA,5212,5212,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,83559,-,2. PBOT,TRES,G3_MEDIO,No PDET,NO ZOMAC,Bajo,0.220875,-,-,Irradiado_Mayor que 300 - hasta 400,Mayor que 300 - hasta 400,1,5212,Antioquia,COPACABANA,0,A1. Menos 1 hora,0,Antioquia,MEDELLÍN,0.657443,A1. Menos 1 hora,14.429646,Pequeña propiedad,2599.342170982123,Pequeña propiedad,1801,4,3260.881597,SI,-,5212,6.351882893,-75.50075633
397,Polygon,5,234,DABEIBA,ANTIOQUIA,5234,5234,Andina,505,OCCIDENTE,Rural,-,24377,-,1. EOT,SEIS,G1_ALTO,PDET Urabá Antioqueño, ZOMAC,Medio Alto,0.631973,-,-,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,5234,Antioquia,CHIGORODÓ,3.270522,A4. Mayor que 3 y menor que 4 horas,111.165599,Antioquia,MEDELLÍN,5.004362,A6. Mayor que 5 y menor que 6 horas,148.190072,Mediana propiedad,28468.493523177374,Pequeña propiedad,1195,3,30810.79017,SI,-,5234,6.992243782,-76.31426328
334,Polygon,5,237,DON MATIAS,ANTIOQUIA,5237,5237,Andina,504,NORTE,Intermedio,-,20198,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.416811,2017,3.2.2,Irradiado_Mayor que 120 - hasta 140,Mayor que 120 - hasta 140,1,5237,Antioquia,BARBOSA,0.587819,A1. Menos 1 hora,21.393607,Antioquia,MEDELLÍN,1.39111,A2. Mayor que 1 y menor que 2 horas,45.562951,Pequeña propiedad,6792.910460780678,Pequeña propiedad,1724,3,7754.750023,SI,Agropecuario,5237,6.492403905,-75.42227687
