FID,Shape,DPTO_CCDGO,MPIO_CCDGO,MUNICIPIO,DEPARTAMENTO,PK,CODIGO_DANE,Region,CODIGO_PRO,PROVINCIA,RURALIDAD,Capital,Población,Área_No_Municipalizada,Instrumento,Categoria_Municipal,Nivel_Desempeño_Fiscal,PDET,ZOMAC,IRV,INFORMALIDAD,Año,Cod_precio,irradiado_rango_prec,rango_prec,irradiado,Codigo_D1,Isocrona_25k_DPTO,Isocrona_25K_MPIO,Isocrona_25K_TIEMPO,Isocrona_25K_HORA,Isocrona_25K_DIST,Isocrona_CAPIT_DPTO,Isocrona_CAPI_MPIO,Isocrona_CAPI_TIEMPO,Isocrona_CAPI_HORA,Isocrona_CAPI_DIST,Tamaño_Predial_Area,Tamaño_predial_AREA_HA,Tamaño_predial_numero,Tamaño_Predial_numero_(ha),GRUPO_UFH,AREA_UFH,Uso_agrope,Observacio,VCRT_valor_medio
967,Polygon,41,20,ALGECIRAS,HUILA,41020,41020,Andina,4102,NORTE,Rural,-,24044,-,1. EOT,SEIS,G5_BAJO,PDET Cuenca del Caguán y Piedemonte Caqueteño, ZOMAC,Alto,0.399326,2018,3.3.1,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,41020.0,Huila,NEIVA,1.665906,A2. Mayor que 1 y menor que 2 horas,58.549957,Huila,NEIVA,1.553072,A2. Mayor que 1 y menor que 2 horas,57.14285,Pequeña propiedad,1.814709137046022,Pequeña propiedad,1.0,2,1060.265266,SI,-,
966,Polygon,41,26,ALTAMIRA,HUILA,41026,41026,Andina,4101,CENTRO,Rural,-,4557,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Bajo,0.720621,2018,3.3.1,Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,0,41026.0,Huila,GARZÓN,0.754908,A1. Menos 1 hora,27.184776,Cauca,FLORENCIA,2.892478,A3. Mayor que 2 y menor que 3 horas,90.087424,Mediana propiedad,7.513197011716251,Mediana propiedad,1.0,3,7.513197,SI,-,
965,Polygon,41,78,BARAYA,HUILA,41078,41078,Andina,4102,NORTE,Rural,-,8865,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Medio Alto,0.347826,2018,3.3.1,Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,0,41078.0,Huila,NEIVA,1.466479,A2. Mayor que 1 y menor que 2 horas,48.638687,Huila,NEIVA,1.416642,A2. Mayor que 1 y menor que 2 horas,47.738687,"Gran propiedad, latifundios",1285.365220331784,Pequeña propiedad,180.0,2,1309.781576,SI,-,
964,Polygon,41,132,CAMPOALEGRE,HUILA,41132,41132,Andina,4102,NORTE,Intermedio,-,33102,-,2. PBOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio,0.693034,2018,3.3.1,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,41132.0,Huila,NEIVA,0.8039,A1. Menos 1 hora,32.569343,Huila,NEIVA,0.691066,A1. Menos 1 hora,31.162237,Pequeña propiedad,7581.511623566882,Pequeña propiedad,1500.0,2,13871.536161,SI,-,
963,Polygon,41,206,COLOMBIA,HUILA,41206,41206,Andina,4102,NORTE,Rural disperso,-,7693,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET, ZOMAC,Medio Alto,0.588684,2018,3.3.1,Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,0,41206.0,Huila,NEIVA,3.225376,A4. Mayor que 3 y menor que 4 horas,96.464379,Huila,NEIVA,3.17554,A4. Mayor que 3 y menor que 4 horas,95.564379,"Gran propiedad, latifundios",2.883582496504138,Mediana propiedad,6.0,3,732.93815,SI,-,
962,Polygon,41,244,ELIAS,HUILA,41244,41244,Andina,4104,SUR,Rural,-,4532,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Bajo,0.649527,2018,3.3.1,Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,0,41244.0,Huila,PITALITO,0.869699,A1. Menos 1 hora,32.340411,Cauca,FLORENCIA,3.391707,A4. Mayor que 3 y menor que 4 horas,113.373925,Pequeña propiedad,13.14199393143391,Pequeña propiedad,31.0,2,21.602187,SI,-,
961,Polygon,41,298,GARZON,HUILA,41298,41298,Andina,4101,CENTRO,Intermedio,-,77794,-,2. PBOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.338362,2018,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,41298.0,Huila,GARZÓN,0.0,A1. Menos 1 hora,0.0,Huila,NEIVA,2.399826,A3. Mayor que 2 y menor que 3 horas,117.125397,Pequeña propiedad,315.189759452554,Pequeña propiedad,319.0,2,460.894126,SI,-,
935,Polygon,41,306,GIGANTE,HUILA,41306,41306,Andina,4101,CENTRO,Intermedio,-,26304,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.68108,2018,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,41306.0,Huila,GARZÓN,0.657669,A1. Menos 1 hora,30.57767,Huila,NEIVA,1.867196,A2. Mayor que 1 y menor que 2 horas,88.454834,Pequeña propiedad,26.66199282181257,Pequeña propiedad,27.0,2,28.512309,SI,-,
936,Polygon,41,319,GUADALUPE,HUILA,41319,41319,Andina,4101,CENTRO,Rural,-,19266,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.349752,2018,3.2.2,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,41319.0,Huila,GARZÓN,1.029675,A2. Mayor que 1 y menor que 2 horas,36.217366,Cauca,FLORENCIA,2.780672,A3. Mayor que 2 y menor que 3 horas,86.707525,Mediana propiedad,45.27036643031251,Mediana propiedad,3.0,1,45.217219,SI,-,
937,Polygon,41,349,HOBO,HUILA,41349,41349,Andina,4102,NORTE,Rural,-,7757,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET, ZOMAC,Medio Bajo,0.343035,2018,3.3.1,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,41349.0,Huila,NEIVA,1.206738,A2. Mayor que 1 y menor que 2 horas,55.314423,Huila,NEIVA,1.093904,A2. Mayor que 1 y menor que 2 horas,53.907316,Pequeña propiedad,218.7195498138802,Pequeña propiedad,63.0,2,144.404497,SI,-,
